澶棰戦亾涓€,#genre#
CCTV-1缁煎悎,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2璐㈢粡,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-3缁艰壓,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4涓枃鍥介檯,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5浣撹偛,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+浣撹偛璧涗簨,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6鐢靛奖,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://111.20.40.167/PLTV/88888893/224/3221226393/index.m3u8#http://111.20.40.166/PLTV/88888893/224/3221226393/index.m3u8
CCTV-7鍐涗簨路鍐滀笟,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8鐢佃鍓 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-9绾綍,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-10绉戞暀,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-11鎴忔洸,
CCTV-12绀句細涓庢硶,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13鏂伴椈,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14灏戝効,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15闊充箰,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16濂ユ灄鍖瑰厠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-17鍐滀笟鍐滄潙,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-1缁煎悎,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2璐㈢粡,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-3缁艰壓,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4涓枃鍥介檯,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5浣撹偛,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+浣撹偛璧涗簨,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6鐢靛奖,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV-7鍐涗簨路鍐滀笟,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8鐢佃鍓 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV-9绾綍,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV-10绉戞暀,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
CCTV-12绀句細涓庢硶,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13鏂伴椈,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14灏戝効,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15闊充箰,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16濂ユ灄鍖瑰厠,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-17鍐滀笟鍐滄潙,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
澶棰戦亾,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://ldncctvwbndtxy.liveplay.myqcloud.com/ldncctvwbnd/ldcctv1_2_md.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4娆ф床,http://ainm.cc/a/play/php/migu.php?id=cctv4o
CCTV4缇庢床,http://ainm.cc/a/play/php/migu.php?id=cctv4a
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV13,http://ldncctvwbndtxy.liveplay.myqcloud.com/ldncctvwbnd/ldcctv13_2_md.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV4K,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV8K,http://cfss.cc/api/ysp/cctv8k.m3u8
涓浗澶╂皵,https://live.goodiptv.club/api/cqyx.php?id=tianqiSD
涓浗浜ら€ ,https://tv.lanjingfm.com/cctbn/hainan.m3u8
涓浗鏁欒偛1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
涓浗鏁欒偛2,http://txylivehd.centv.cn/guoma/tsytk.m3u8
涓浗鏁欒偛3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
涓浗鏁欒偛4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
鏃╂湡鏁欒偛,https://live.goodiptv.club/api/cqyx.php?id=zaojiaoHD
CCTV绗竴鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
CCTV椋庝簯鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
CCTV鎬€鏃у墽鍦 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
CCTV涓栫晫鍦扮悊,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
CCTV椋庝簯闊充箰,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8
CCTV鍏靛櫒绉戞妧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
CCTV椋庝簯瓒崇悆,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
CCTV楂樺皵澶綉鐞 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8
CCTV濂虫€ф椂灏 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226969/index.m3u8
CCTV澶鏂囧寲绮惧搧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
CCTV澶鍙扮悆,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
CCTV鐢佃鎸囧崡,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8
CCTV涓璐墿,https://live.goodiptv.club/api/cqyx.php?id=ysgw
CCTV鍗敓鍋ュ悍,http://cfss.cc/api/ysp/wsjk.m3u8
CGTN鑻辫,http:/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
CGTN绾綍,http://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN瑗跨彮鐗欒,http://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN娉曡,http://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN闃挎媺浼,http://news.cgtn.com/resource/live/arabic/cgtn-a.m3u8
CGTN淇勮,http://news.cgtn.com/resource/live/russian/cgtn-r.m3u8
CNC涓枃,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC鑻辨枃,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
姝屽崕瀵艰,http://lu1.cc/tv/php/gehua2.php?id=ghdshd
鍖椾含鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226222/1.m3u8
鍖椾含鏂囪壓,http://lu1.cc/tv/bjtv/btime.php?id=bjwy
鍖椾含绾疄绉戞暀,https://live.goodiptv.club/api/cqyx.php?id=bjayjsSD
鍖椾含褰辫,http://lu1.cc/tv/bjtv/btime.php?id=bjys
鍖椾含璐㈢粡,http://lu1.cc/tv/bjtv/btime.php?id=bjcj
鍖椾含浣撹偛浼戦棽,http://lu1.cc/tv/bjtv/btime.php?id=bjty
鍖椾含鐢熸椿,http://lu1.cc/tv/bjtv/btime.php?id=bjsh
鍖椾含鏂伴椈,http://lu1.cc/tv/bjtv/btime.php?id=bjxw
姹熻嫃鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226200/1.m3u8
骞胯タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
鍥涘窛鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
涓滄柟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
涓婃捣鏁欒偛鐢佃鍙 ,https://live2018.setv.sh.cn/setv/programme10_ud.m3u8?auth_key=4794048378-0-0-06e60dd476e18047abd3be7701993ee8
涓婅澶栬,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000001/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000001&livemode=1&stbId=3
婀栧崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
娴欐睙鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
澶╂触鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
杈藉畞鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
瀹夊窘鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
榛戦緳姹熷崼瑙 ,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
鍐呰挋鍙ゅ崼瑙 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
骞夸笢鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226216/1.m3u8
娣卞湷鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
婀栧寳鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
鍚夋灄鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
灞变笢鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
灞变笢鏁欒偛鍗,https://live.goodiptv.club/api/cqyx.php?id=sdjiaoyuSD
灞辫タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225763/1.m3u8
闄曡タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8
姹熻タ鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
娌冲崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
娌冲寳鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
鐢樿們鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
瀹佸鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
闈掓捣鍗,http://stream.qhbtv.com/qhws/sd/live.m3u8
瑗胯棌鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
鏂扮枂鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/1.m3u8
閲嶅簡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
涓滃崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
鍘﹂棬鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
浜戝崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
璐靛窞鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
鍏靛洟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
娴峰崡鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
涓夋矙鍗,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
闄曡タ鍐滄灄鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
婢充簹鍗,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
棣欐腐鍗,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
缈＄繝鍙 ,http://lu1.cc/tv/php/gudou.php?id=fct
鏄庣彔鍙 ,http://lu1.cc/tv/php/gudou.php?id=mzt
鍑ゅ嚢涓枃,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
鍑ゅ嚢璧勮,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
鍑ゅ嚢棣欐腐,http://php.17186.eu.org/phtv/fhhk.m3u8
HC瀹跺涵褰遍櫌,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC楂樻竻鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
鎽勫奖,https://live.goodiptv.club/api/cqyx.php?id=sheying
涔︾敾,http://211.103.180.178:8234/live_hls/hdmi.m3u8
鍥藉,https://live.goodiptv.club/api/cqyx.php?id=guoxue
澶╁厓鍥存,https://live.goodiptv.club/api/cqyx.php?id=weiqi
姹芥懇,https://live.goodiptv.club/api/cqyx.php?id=cqcarSD
鍙戠幇涔嬫梾,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
鑰佹晠浜 ,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
涓鐢 ,https://live.goodiptv.club/api/cqyx.php?id=qicai
鐜悆濂囪,https://live.goodiptv.club/api/cqyx.php?id=car
娆㈢瑧鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
鍔茬垎浣撹偛,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000008/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000008&livemode=1&stbId=3
蹇箰鍨傞挀,https://live.goodiptv.club/api/cqyx.php?id=klcdHD
閲戦拱绾疄,http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000011724/1.m3u8?channel-id=ystenlive&Contentid=1000000002000011724&livemode=1&stbId=3
鎴忔洸绮鹃€ ,http://140.249.29.151/liveplay-kk.rtxapp.com/live/program/live/xqjx8m/8000000/mnf.m3u8
涓婃捣涓滄柟褰辫,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000032212/1.m3u8?channel-id=bestzb&Contentid=5000000010000032212&livemode=1&stbId=3
涓婃捣浜旀槦浣撹偛,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000017540/1.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=3
鏂拌瑙 ,http://140.249.29.151/liveplay-kk.rtxapp.com/live/program/live/xsjhd8m/8000000/mnf.m3u8
鍗￠叿灏戝効,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225743/1.m3u8
鑼堕閬 ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8
榄呭姏瓒崇悆,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031207/1.m3u8?channel-id=bestzb&Contentid=5000000011000031207&livemode=1&stbId=3
鐐姩鍗￠€ ,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226213/1.m3u8
涔愭父,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226580/1.m3u8
鍥涙捣閽撻奔,https://live.goodiptv.club/api/cqyx.php?id=diaoyu
鐜悆鏃呮父,https://live.goodiptv.club/api/cqyx.php?id=huanqiulvyou
閮藉競鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226581/1.m3u8
鍔ㄦ极绉€鍦 ,https://live.goodiptv.club/api/cqyx.php?id=dmxcHD
娓告垙椋庝簯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8
涓滄柟璐㈢粡,https://live.goodiptv.club/api/cqyx.php?id=dfcj
瓒崇悆棰戦亾,http://lu1.cc/tv/php/gehua.php?id=zqpd
涓崕缇庨,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000266015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266015&livemode=1&stbId=3
涓崕鐗逛骇,https://live.goodiptv.club/api/cqyx.php?id=techan
鏀惰棌澶╀笅,https://live.goodiptv.club/api/cqyx.php?id=soucang
涓婃捣绾疄浜烘枃,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8
寮堝潧鏄ョ,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
鍔ㄦ劅闊充箰,http://lu1.cc/tv/php/gehua.php?id=dgyy
鐧惧鍋ュ悍,https://live.goodiptv.club/api/cqyx.php?id=jiankangSD
鐢熸€佺幆澧 ,https://live.goodiptv.club/api/cqyx.php?id=shengtai
姹傜储璁板綍,https://live.goodiptv.club/api/cqyx.php?id=qsjlHD
鐢熸椿鏃跺皻,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000006/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000006&livemode=1&stbId=3
閲戦拱鍗￠€ ,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
娉曟不澶╁湴,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000014/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000014&livemode=1&stbId=3
閲戣壊瀛﹀爞,https://live.goodiptv.club/api/cqyx.php?id=jinse
浜鍓у満,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
缃笟棰戦亾,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226241/index.m3u8
鐚拰鑰侀紶鐩存挱闂 1,https://epg.112114.xyz/huya/11352879
CRI鐜悆璧勮骞挎挱,http://sk.cri.cn/905.m3u8
CRI涓枃鐜悆骞挎挱,http://sk.cri.cn/hyhq.m3u8
CRI涓栫晫鍗庡０骞挎挱,https://sk.cri.cn/hxfh.m3u8
CRI娴峰场椋炶櫣,http://sk.cri.cn/hxfh.m3u8
CRI鍗楁捣涔嬪０,http://sk.cri.cn/nhzs.m3u8
CRI-HitFM,http://sk.cri.cn/887.m3u8
CRI杞绘澗璋冮,http://sk.cri.cn/915.m3u8
CRI-EasyFM,http://sk.cri.cn/915.m3u8
CRI-NEWSPlus-AM846,http://sk.cri.cn/am846.m3u8
CRI-NEWSPlus-AM1008,http://sk.cri.cn/am1008.m3u8
CNR涓浗涔嬪０,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR缁忔祹涔嬪０,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR闊充箰涔嬪０,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR缁忓吀闊充箰骞挎挱,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR鍙版捣涔嬪０,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR绁炲窞涔嬪０,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR澶ф咕鍖轰箣澹 ,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR棣欐腐涔嬪０,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CNR姘戞棌涔嬪０,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR鏂囪壓涔嬪０,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR鑰佸勾涔嬪０,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
